Date,Year,Month Number,Month,Month & Year,Mon & Year
9-Mar-89,1989,3,March,Mar-89,Mar-89
10-Mar-89,1989,3,March,Mar-89,Mar-89
11-Mar-89,1989,3,March,Mar-89,Mar-89
12-Mar-89,1989,3,March,Mar-89,Mar-89
13-Mar-89,1989,3,March,Mar-89,Mar-89
14-Mar-89,1989,3,March,Mar-89,Mar-89
15-Mar-89,1989,3,March,Mar-89,Mar-89
16-Mar-89,1989,3,March,Mar-89,Mar-89
17-Mar-89,1989,3,March,Mar-89,Mar-89
18-Mar-89,1989,3,March,Mar-89,Mar-89
19-Mar-89,1989,3,March,Mar-89,Mar-89
20-Mar-89,1989,3,March,Mar-89,Mar-89
21-Mar-89,1989,3,March,Mar-89,Mar-89
22-Mar-89,1989,3,March,Mar-89,Mar-89
23-Mar-89,1989,3,March,Mar-89,Mar-89
24-Mar-89,1989,3,March,Mar-89,Mar-89
25-Mar-89,1989,3,March,Mar-89,Mar-89
26-Mar-89,1989,3,March,Mar-89,Mar-89
27-Mar-89,1989,3,March,Mar-89,Mar-89
28-Mar-89,1989,3,March,Mar-89,Mar-89
29-Mar-89,1989,3,March,Mar-89,Mar-89
30-Mar-89,1989,3,March,Mar-89,Mar-89
31-Mar-89,1989,3,March,Mar-89,Mar-89
1-Apr-89,1989,4,April,Apr-89,Apr-89
2-Apr-89,1989,4,April,Apr-89,Apr-89
3-Apr-89,1989,4,April,Apr-89,Apr-89
4-Apr-89,1989,4,April,Apr-89,Apr-89
5-Apr-89,1989,4,April,Apr-89,Apr-89
6-Apr-89,1989,4,April,Apr-89,Apr-89
7-Apr-89,1989,4,April,Apr-89,Apr-89
8-Apr-89,1989,4,April,Apr-89,Apr-89
9-Apr-89,1989,4,April,Apr-89,Apr-89
10-Apr-89,1989,4,April,Apr-89,Apr-89
11-Apr-89,1989,4,April,Apr-89,Apr-89
12-Apr-89,1989,4,April,Apr-89,Apr-89
13-Apr-89,1989,4,April,Apr-89,Apr-89
14-Apr-89,1989,4,April,Apr-89,Apr-89
15-Apr-89,1989,4,April,Apr-89,Apr-89
16-Apr-89,1989,4,April,Apr-89,Apr-89
17-Apr-89,1989,4,April,Apr-89,Apr-89
18-Apr-89,1989,4,April,Apr-89,Apr-89
19-Apr-89,1989,4,April,Apr-89,Apr-89
20-Apr-89,1989,4,April,Apr-89,Apr-89
21-Apr-89,1989,4,April,Apr-89,Apr-89
22-Apr-89,1989,4,April,Apr-89,Apr-89
23-Apr-89,1989,4,April,Apr-89,Apr-89
24-Apr-89,1989,4,April,Apr-89,Apr-89
25-Apr-89,1989,4,April,Apr-89,Apr-89
26-Apr-89,1989,4,April,Apr-89,Apr-89
27-Apr-89,1989,4,April,Apr-89,Apr-89
28-Apr-89,1989,4,April,Apr-89,Apr-89
29-Apr-89,1989,4,April,Apr-89,Apr-89
30-Apr-89,1989,4,April,Apr-89,Apr-89
1-May-89,1989,5,May,May-89,May-89
2-May-89,1989,5,May,May-89,May-89
3-May-89,1989,5,May,May-89,May-89
4-May-89,1989,5,May,May-89,May-89
5-May-89,1989,5,May,May-89,May-89
6-May-89,1989,5,May,May-89,May-89
7-May-89,1989,5,May,May-89,May-89
8-May-89,1989,5,May,May-89,May-89
9-May-89,1989,5,May,May-89,May-89
10-May-89,1989,5,May,May-89,May-89
11-May-89,1989,5,May,May-89,May-89
12-May-89,1989,5,May,May-89,May-89
13-May-89,1989,5,May,May-89,May-89
14-May-89,1989,5,May,May-89,May-89
15-May-89,1989,5,May,May-89,May-89
16-May-89,1989,5,May,May-89,May-89
17-May-89,1989,5,May,May-89,May-89
18-May-89,1989,5,May,May-89,May-89
19-May-89,1989,5,May,May-89,May-89
20-May-89,1989,5,May,May-89,May-89
21-May-89,1989,5,May,May-89,May-89
22-May-89,1989,5,May,May-89,May-89
23-May-89,1989,5,May,May-89,May-89
24-May-89,1989,5,May,May-89,May-89
25-May-89,1989,5,May,May-89,May-89
26-May-89,1989,5,May,May-89,May-89
27-May-89,1989,5,May,May-89,May-89
28-May-89,1989,5,May,May-89,May-89
29-May-89,1989,5,May,May-89,May-89
30-May-89,1989,5,May,May-89,May-89
31-May-89,1989,5,May,May-89,May-89
1-Jun-89,1989,6,June,Jun-89,Jun-89
2-Jun-89,1989,6,June,Jun-89,Jun-89
3-Jun-89,1989,6,June,Jun-89,Jun-89
4-Jun-89,1989,6,June,Jun-89,Jun-89
5-Jun-89,1989,6,June,Jun-89,Jun-89
6-Jun-89,1989,6,June,Jun-89,Jun-89
7-Jun-89,1989,6,June,Jun-89,Jun-89
8-Jun-89,1989,6,June,Jun-89,Jun-89
9-Jun-89,1989,6,June,Jun-89,Jun-89
10-Jun-89,1989,6,June,Jun-89,Jun-89
11-Jun-89,1989,6,June,Jun-89,Jun-89
12-Jun-89,1989,6,June,Jun-89,Jun-89
13-Jun-89,1989,6,June,Jun-89,Jun-89
14-Jun-89,1989,6,June,Jun-89,Jun-89
15-Jun-89,1989,6,June,Jun-89,Jun-89
16-Jun-89,1989,6,June,Jun-89,Jun-89
17-Jun-89,1989,6,June,Jun-89,Jun-89
18-Jun-89,1989,6,June,Jun-89,Jun-89
19-Jun-89,1989,6,June,Jun-89,Jun-89
20-Jun-89,1989,6,June,Jun-89,Jun-89
21-Jun-89,1989,6,June,Jun-89,Jun-89
22-Jun-89,1989,6,June,Jun-89,Jun-89
23-Jun-89,1989,6,June,Jun-89,Jun-89
24-Jun-89,1989,6,June,Jun-89,Jun-89
25-Jun-89,1989,6,June,Jun-89,Jun-89
26-Jun-89,1989,6,June,Jun-89,Jun-89
27-Jun-89,1989,6,June,Jun-89,Jun-89
28-Jun-89,1989,6,June,Jun-89,Jun-89
29-Jun-89,1989,6,June,Jun-89,Jun-89
30-Jun-89,1989,6,June,Jun-89,Jun-89
1-Jul-89,1989,7,July,Jul-89,Jul-89
2-Jul-89,1989,7,July,Jul-89,Jul-89
3-Jul-89,1989,7,July,Jul-89,Jul-89
4-Jul-89,1989,7,July,Jul-89,Jul-89
5-Jul-89,1989,7,July,Jul-89,Jul-89
6-Jul-89,1989,7,July,Jul-89,Jul-89
7-Jul-89,1989,7,July,Jul-89,Jul-89
8-Jul-89,1989,7,July,Jul-89,Jul-89
9-Jul-89,1989,7,July,Jul-89,Jul-89
10-Jul-89,1989,7,July,Jul-89,Jul-89
11-Jul-89,1989,7,July,Jul-89,Jul-89
12-Jul-89,1989,7,July,Jul-89,Jul-89
13-Jul-89,1989,7,July,Jul-89,Jul-89
14-Jul-89,1989,7,July,Jul-89,Jul-89
15-Jul-89,1989,7,July,Jul-89,Jul-89
16-Jul-89,1989,7,July,Jul-89,Jul-89
17-Jul-89,1989,7,July,Jul-89,Jul-89
18-Jul-89,1989,7,July,Jul-89,Jul-89
19-Jul-89,1989,7,July,Jul-89,Jul-89
20-Jul-89,1989,7,July,Jul-89,Jul-89
21-Jul-89,1989,7,July,Jul-89,Jul-89
22-Jul-89,1989,7,July,Jul-89,Jul-89
23-Jul-89,1989,7,July,Jul-89,Jul-89
24-Jul-89,1989,7,July,Jul-89,Jul-89
25-Jul-89,1989,7,July,Jul-89,Jul-89
26-Jul-89,1989,7,July,Jul-89,Jul-89
27-Jul-89,1989,7,July,Jul-89,Jul-89
28-Jul-89,1989,7,July,Jul-89,Jul-89
29-Jul-89,1989,7,July,Jul-89,Jul-89
30-Jul-89,1989,7,July,Jul-89,Jul-89
31-Jul-89,1989,7,July,Jul-89,Jul-89
1-Aug-89,1989,8,August,Aug-89,Aug-89
2-Aug-89,1989,8,August,Aug-89,Aug-89
3-Aug-89,1989,8,August,Aug-89,Aug-89
4-Aug-89,1989,8,August,Aug-89,Aug-89
5-Aug-89,1989,8,August,Aug-89,Aug-89
6-Aug-89,1989,8,August,Aug-89,Aug-89
7-Aug-89,1989,8,August,Aug-89,Aug-89
8-Aug-89,1989,8,August,Aug-89,Aug-89
9-Aug-89,1989,8,August,Aug-89,Aug-89
10-Aug-89,1989,8,August,Aug-89,Aug-89
11-Aug-89,1989,8,August,Aug-89,Aug-89
12-Aug-89,1989,8,August,Aug-89,Aug-89
13-Aug-89,1989,8,August,Aug-89,Aug-89
14-Aug-89,1989,8,August,Aug-89,Aug-89
15-Aug-89,1989,8,August,Aug-89,Aug-89
16-Aug-89,1989,8,August,Aug-89,Aug-89
17-Aug-89,1989,8,August,Aug-89,Aug-89
18-Aug-89,1989,8,August,Aug-89,Aug-89
19-Aug-89,1989,8,August,Aug-89,Aug-89
20-Aug-89,1989,8,August,Aug-89,Aug-89
21-Aug-89,1989,8,August,Aug-89,Aug-89
22-Aug-89,1989,8,August,Aug-89,Aug-89
23-Aug-89,1989,8,August,Aug-89,Aug-89
24-Aug-89,1989,8,August,Aug-89,Aug-89
25-Aug-89,1989,8,August,Aug-89,Aug-89
26-Aug-89,1989,8,August,Aug-89,Aug-89
27-Aug-89,1989,8,August,Aug-89,Aug-89
28-Aug-89,1989,8,August,Aug-89,Aug-89
29-Aug-89,1989,8,August,Aug-89,Aug-89
30-Aug-89,1989,8,August,Aug-89,Aug-89
31-Aug-89,1989,8,August,Aug-89,Aug-89
1-Sep-89,1989,9,September,Sep-89,Sep-89
2-Sep-89,1989,9,September,Sep-89,Sep-89
3-Sep-89,1989,9,September,Sep-89,Sep-89
4-Sep-89,1989,9,September,Sep-89,Sep-89
5-Sep-89,1989,9,September,Sep-89,Sep-89
6-Sep-89,1989,9,September,Sep-89,Sep-89
7-Sep-89,1989,9,September,Sep-89,Sep-89
8-Sep-89,1989,9,September,Sep-89,Sep-89
9-Sep-89,1989,9,September,Sep-89,Sep-89
10-Sep-89,1989,9,September,Sep-89,Sep-89
11-Sep-89,1989,9,September,Sep-89,Sep-89
12-Sep-89,1989,9,September,Sep-89,Sep-89
13-Sep-89,1989,9,September,Sep-89,Sep-89
14-Sep-89,1989,9,September,Sep-89,Sep-89
15-Sep-89,1989,9,September,Sep-89,Sep-89
16-Sep-89,1989,9,September,Sep-89,Sep-89
17-Sep-89,1989,9,September,Sep-89,Sep-89
18-Sep-89,1989,9,September,Sep-89,Sep-89
19-Sep-89,1989,9,September,Sep-89,Sep-89
20-Sep-89,1989,9,September,Sep-89,Sep-89
21-Sep-89,1989,9,September,Sep-89,Sep-89
22-Sep-89,1989,9,September,Sep-89,Sep-89
23-Sep-89,1989,9,September,Sep-89,Sep-89
24-Sep-89,1989,9,September,Sep-89,Sep-89
25-Sep-89,1989,9,September,Sep-89,Sep-89
26-Sep-89,1989,9,September,Sep-89,Sep-89
27-Sep-89,1989,9,September,Sep-89,Sep-89
28-Sep-89,1989,9,September,Sep-89,Sep-89
29-Sep-89,1989,9,September,Sep-89,Sep-89
30-Sep-89,1989,9,September,Sep-89,Sep-89
1-Oct-89,1989,10,October,Oct-89,Oct-89
2-Oct-89,1989,10,October,Oct-89,Oct-89
3-Oct-89,1989,10,October,Oct-89,Oct-89
4-Oct-89,1989,10,October,Oct-89,Oct-89
5-Oct-89,1989,10,October,Oct-89,Oct-89
6-Oct-89,1989,10,October,Oct-89,Oct-89
7-Oct-89,1989,10,October,Oct-89,Oct-89
8-Oct-89,1989,10,October,Oct-89,Oct-89
9-Oct-89,1989,10,October,Oct-89,Oct-89
10-Oct-89,1989,10,October,Oct-89,Oct-89
11-Oct-89,1989,10,October,Oct-89,Oct-89
12-Oct-89,1989,10,October,Oct-89,Oct-89
13-Oct-89,1989,10,October,Oct-89,Oct-89
14-Oct-89,1989,10,October,Oct-89,Oct-89
15-Oct-89,1989,10,October,Oct-89,Oct-89
16-Oct-89,1989,10,October,Oct-89,Oct-89
17-Oct-89,1989,10,October,Oct-89,Oct-89
18-Oct-89,1989,10,October,Oct-89,Oct-89
19-Oct-89,1989,10,October,Oct-89,Oct-89
20-Oct-89,1989,10,October,Oct-89,Oct-89
21-Oct-89,1989,10,October,Oct-89,Oct-89
22-Oct-89,1989,10,October,Oct-89,Oct-89
23-Oct-89,1989,10,October,Oct-89,Oct-89
24-Oct-89,1989,10,October,Oct-89,Oct-89
25-Oct-89,1989,10,October,Oct-89,Oct-89
26-Oct-89,1989,10,October,Oct-89,Oct-89
27-Oct-89,1989,10,October,Oct-89,Oct-89
28-Oct-89,1989,10,October,Oct-89,Oct-89
29-Oct-89,1989,10,October,Oct-89,Oct-89
30-Oct-89,1989,10,October,Oct-89,Oct-89
31-Oct-89,1989,10,October,Oct-89,Oct-89
1-Nov-89,1989,11,November,Nov-89,Nov-89
2-Nov-89,1989,11,November,Nov-89,Nov-89
3-Nov-89,1989,11,November,Nov-89,Nov-89
4-Nov-89,1989,11,November,Nov-89,Nov-89
5-Nov-89,1989,11,November,Nov-89,Nov-89
6-Nov-89,1989,11,November,Nov-89,Nov-89
7-Nov-89,1989,11,November,Nov-89,Nov-89
8-Nov-89,1989,11,November,Nov-89,Nov-89
9-Nov-89,1989,11,November,Nov-89,Nov-89
10-Nov-89,1989,11,November,Nov-89,Nov-89
11-Nov-89,1989,11,November,Nov-89,Nov-89
12-Nov-89,1989,11,November,Nov-89,Nov-89
13-Nov-89,1989,11,November,Nov-89,Nov-89
14-Nov-89,1989,11,November,Nov-89,Nov-89
15-Nov-89,1989,11,November,Nov-89,Nov-89
16-Nov-89,1989,11,November,Nov-89,Nov-89
17-Nov-89,1989,11,November,Nov-89,Nov-89
18-Nov-89,1989,11,November,Nov-89,Nov-89
19-Nov-89,1989,11,November,Nov-89,Nov-89
20-Nov-89,1989,11,November,Nov-89,Nov-89
21-Nov-89,1989,11,November,Nov-89,Nov-89
22-Nov-89,1989,11,November,Nov-89,Nov-89
23-Nov-89,1989,11,November,Nov-89,Nov-89
24-Nov-89,1989,11,November,Nov-89,Nov-89
25-Nov-89,1989,11,November,Nov-89,Nov-89
26-Nov-89,1989,11,November,Nov-89,Nov-89
27-Nov-89,1989,11,November,Nov-89,Nov-89
28-Nov-89,1989,11,November,Nov-89,Nov-89
29-Nov-89,1989,11,November,Nov-89,Nov-89
30-Nov-89,1989,11,November,Nov-89,Nov-89
1-Dec-89,1989,12,December,Dec-89,Dec-89
2-Dec-89,1989,12,December,Dec-89,Dec-89
3-Dec-89,1989,12,December,Dec-89,Dec-89
4-Dec-89,1989,12,December,Dec-89,Dec-89
5-Dec-89,1989,12,December,Dec-89,Dec-89
6-Dec-89,1989,12,December,Dec-89,Dec-89
7-Dec-89,1989,12,December,Dec-89,Dec-89
8-Dec-89,1989,12,December,Dec-89,Dec-89
9-Dec-89,1989,12,December,Dec-89,Dec-89
10-Dec-89,1989,12,December,Dec-89,Dec-89
11-Dec-89,1989,12,December,Dec-89,Dec-89
12-Dec-89,1989,12,December,Dec-89,Dec-89
13-Dec-89,1989,12,December,Dec-89,Dec-89
14-Dec-89,1989,12,December,Dec-89,Dec-89
15-Dec-89,1989,12,December,Dec-89,Dec-89
16-Dec-89,1989,12,December,Dec-89,Dec-89
17-Dec-89,1989,12,December,Dec-89,Dec-89
18-Dec-89,1989,12,December,Dec-89,Dec-89
19-Dec-89,1989,12,December,Dec-89,Dec-89
20-Dec-89,1989,12,December,Dec-89,Dec-89
21-Dec-89,1989,12,December,Dec-89,Dec-89
22-Dec-89,1989,12,December,Dec-89,Dec-89
23-Dec-89,1989,12,December,Dec-89,Dec-89
24-Dec-89,1989,12,December,Dec-89,Dec-89
25-Dec-89,1989,12,December,Dec-89,Dec-89
26-Dec-89,1989,12,December,Dec-89,Dec-89
27-Dec-89,1989,12,December,Dec-89,Dec-89
28-Dec-89,1989,12,December,Dec-89,Dec-89
29-Dec-89,1989,12,December,Dec-89,Dec-89
30-Dec-89,1989,12,December,Dec-89,Dec-89
31-Dec-89,1989,12,December,Dec-89,Dec-89
1-Jan-90,1990,1,January,Jan-90,Jan-90
2-Jan-90,1990,1,January,Jan-90,Jan-90
3-Jan-90,1990,1,January,Jan-90,Jan-90
4-Jan-90,1990,1,January,Jan-90,Jan-90
5-Jan-90,1990,1,January,Jan-90,Jan-90
6-Jan-90,1990,1,January,Jan-90,Jan-90
7-Jan-90,1990,1,January,Jan-90,Jan-90
8-Jan-90,1990,1,January,Jan-90,Jan-90
9-Jan-90,1990,1,January,Jan-90,Jan-90
10-Jan-90,1990,1,January,Jan-90,Jan-90
11-Jan-90,1990,1,January,Jan-90,Jan-90
12-Jan-90,1990,1,January,Jan-90,Jan-90
13-Jan-90,1990,1,January,Jan-90,Jan-90
14-Jan-90,1990,1,January,Jan-90,Jan-90
15-Jan-90,1990,1,January,Jan-90,Jan-90
16-Jan-90,1990,1,January,Jan-90,Jan-90
17-Jan-90,1990,1,January,Jan-90,Jan-90
18-Jan-90,1990,1,January,Jan-90,Jan-90
19-Jan-90,1990,1,January,Jan-90,Jan-90
20-Jan-90,1990,1,January,Jan-90,Jan-90
21-Jan-90,1990,1,January,Jan-90,Jan-90
22-Jan-90,1990,1,January,Jan-90,Jan-90
23-Jan-90,1990,1,January,Jan-90,Jan-90
24-Jan-90,1990,1,January,Jan-90,Jan-90
25-Jan-90,1990,1,January,Jan-90,Jan-90
26-Jan-90,1990,1,January,Jan-90,Jan-90
27-Jan-90,1990,1,January,Jan-90,Jan-90
28-Jan-90,1990,1,January,Jan-90,Jan-90
29-Jan-90,1990,1,January,Jan-90,Jan-90
30-Jan-90,1990,1,January,Jan-90,Jan-90
31-Jan-90,1990,1,January,Jan-90,Jan-90
1-Feb-90,1990,2,February,Feb-90,Feb-90
2-Feb-90,1990,2,February,Feb-90,Feb-90
3-Feb-90,1990,2,February,Feb-90,Feb-90
4-Feb-90,1990,2,February,Feb-90,Feb-90
5-Feb-90,1990,2,February,Feb-90,Feb-90
6-Feb-90,1990,2,February,Feb-90,Feb-90
7-Feb-90,1990,2,February,Feb-90,Feb-90
8-Feb-90,1990,2,February,Feb-90,Feb-90
9-Feb-90,1990,2,February,Feb-90,Feb-90
10-Feb-90,1990,2,February,Feb-90,Feb-90
11-Feb-90,1990,2,February,Feb-90,Feb-90
12-Feb-90,1990,2,February,Feb-90,Feb-90
13-Feb-90,1990,2,February,Feb-90,Feb-90
14-Feb-90,1990,2,February,Feb-90,Feb-90
15-Feb-90,1990,2,February,Feb-90,Feb-90
16-Feb-90,1990,2,February,Feb-90,Feb-90
17-Feb-90,1990,2,February,Feb-90,Feb-90
18-Feb-90,1990,2,February,Feb-90,Feb-90
19-Feb-90,1990,2,February,Feb-90,Feb-90
20-Feb-90,1990,2,February,Feb-90,Feb-90
21-Feb-90,1990,2,February,Feb-90,Feb-90
22-Feb-90,1990,2,February,Feb-90,Feb-90
23-Feb-90,1990,2,February,Feb-90,Feb-90
24-Feb-90,1990,2,February,Feb-90,Feb-90
25-Feb-90,1990,2,February,Feb-90,Feb-90
26-Feb-90,1990,2,February,Feb-90,Feb-90
27-Feb-90,1990,2,February,Feb-90,Feb-90
28-Feb-90,1990,2,February,Feb-90,Feb-90
1-Mar-90,1990,3,March,Mar-90,Mar-90
2-Mar-90,1990,3,March,Mar-90,Mar-90
3-Mar-90,1990,3,March,Mar-90,Mar-90
4-Mar-90,1990,3,March,Mar-90,Mar-90
5-Mar-90,1990,3,March,Mar-90,Mar-90
6-Mar-90,1990,3,March,Mar-90,Mar-90
7-Mar-90,1990,3,March,Mar-90,Mar-90
8-Mar-90,1990,3,March,Mar-90,Mar-90
9-Mar-90,1990,3,March,Mar-90,Mar-90
10-Mar-90,1990,3,March,Mar-90,Mar-90
11-Mar-90,1990,3,March,Mar-90,Mar-90
12-Mar-90,1990,3,March,Mar-90,Mar-90
13-Mar-90,1990,3,March,Mar-90,Mar-90
14-Mar-90,1990,3,March,Mar-90,Mar-90
15-Mar-90,1990,3,March,Mar-90,Mar-90
16-Mar-90,1990,3,March,Mar-90,Mar-90
17-Mar-90,1990,3,March,Mar-90,Mar-90
18-Mar-90,1990,3,March,Mar-90,Mar-90
19-Mar-90,1990,3,March,Mar-90,Mar-90
20-Mar-90,1990,3,March,Mar-90,Mar-90
21-Mar-90,1990,3,March,Mar-90,Mar-90
22-Mar-90,1990,3,March,Mar-90,Mar-90
23-Mar-90,1990,3,March,Mar-90,Mar-90
24-Mar-90,1990,3,March,Mar-90,Mar-90
25-Mar-90,1990,3,March,Mar-90,Mar-90
26-Mar-90,1990,3,March,Mar-90,Mar-90
27-Mar-90,1990,3,March,Mar-90,Mar-90
28-Mar-90,1990,3,March,Mar-90,Mar-90
29-Mar-90,1990,3,March,Mar-90,Mar-90
30-Mar-90,1990,3,March,Mar-90,Mar-90
31-Mar-90,1990,3,March,Mar-90,Mar-90
1-Apr-90,1990,4,April,Apr-90,Apr-90
2-Apr-90,1990,4,April,Apr-90,Apr-90
3-Apr-90,1990,4,April,Apr-90,Apr-90
4-Apr-90,1990,4,April,Apr-90,Apr-90
5-Apr-90,1990,4,April,Apr-90,Apr-90
6-Apr-90,1990,4,April,Apr-90,Apr-90
7-Apr-90,1990,4,April,Apr-90,Apr-90
8-Apr-90,1990,4,April,Apr-90,Apr-90
9-Apr-90,1990,4,April,Apr-90,Apr-90
10-Apr-90,1990,4,April,Apr-90,Apr-90
11-Apr-90,1990,4,April,Apr-90,Apr-90
12-Apr-90,1990,4,April,Apr-90,Apr-90
13-Apr-90,1990,4,April,Apr-90,Apr-90
14-Apr-90,1990,4,April,Apr-90,Apr-90
15-Apr-90,1990,4,April,Apr-90,Apr-90
16-Apr-90,1990,4,April,Apr-90,Apr-90
17-Apr-90,1990,4,April,Apr-90,Apr-90
18-Apr-90,1990,4,April,Apr-90,Apr-90
19-Apr-90,1990,4,April,Apr-90,Apr-90
20-Apr-90,1990,4,April,Apr-90,Apr-90
21-Apr-90,1990,4,April,Apr-90,Apr-90
22-Apr-90,1990,4,April,Apr-90,Apr-90
23-Apr-90,1990,4,April,Apr-90,Apr-90
24-Apr-90,1990,4,April,Apr-90,Apr-90
25-Apr-90,1990,4,April,Apr-90,Apr-90
26-Apr-90,1990,4,April,Apr-90,Apr-90
27-Apr-90,1990,4,April,Apr-90,Apr-90
28-Apr-90,1990,4,April,Apr-90,Apr-90
29-Apr-90,1990,4,April,Apr-90,Apr-90
30-Apr-90,1990,4,April,Apr-90,Apr-90
1-May-90,1990,5,May,May-90,May-90
2-May-90,1990,5,May,May-90,May-90
3-May-90,1990,5,May,May-90,May-90
4-May-90,1990,5,May,May-90,May-90
5-May-90,1990,5,May,May-90,May-90
6-May-90,1990,5,May,May-90,May-90
7-May-90,1990,5,May,May-90,May-90
8-May-90,1990,5,May,May-90,May-90
9-May-90,1990,5,May,May-90,May-90
10-May-90,1990,5,May,May-90,May-90
11-May-90,1990,5,May,May-90,May-90
12-May-90,1990,5,May,May-90,May-90
13-May-90,1990,5,May,May-90,May-90
14-May-90,1990,5,May,May-90,May-90
15-May-90,1990,5,May,May-90,May-90
16-May-90,1990,5,May,May-90,May-90
17-May-90,1990,5,May,May-90,May-90
18-May-90,1990,5,May,May-90,May-90
19-May-90,1990,5,May,May-90,May-90
20-May-90,1990,5,May,May-90,May-90
21-May-90,1990,5,May,May-90,May-90
22-May-90,1990,5,May,May-90,May-90
23-May-90,1990,5,May,May-90,May-90
24-May-90,1990,5,May,May-90,May-90
25-May-90,1990,5,May,May-90,May-90
26-May-90,1990,5,May,May-90,May-90
27-May-90,1990,5,May,May-90,May-90
28-May-90,1990,5,May,May-90,May-90
29-May-90,1990,5,May,May-90,May-90
30-May-90,1990,5,May,May-90,May-90
31-May-90,1990,5,May,May-90,May-90
1-Jun-90,1990,6,June,Jun-90,Jun-90
2-Jun-90,1990,6,June,Jun-90,Jun-90
3-Jun-90,1990,6,June,Jun-90,Jun-90
4-Jun-90,1990,6,June,Jun-90,Jun-90
5-Jun-90,1990,6,June,Jun-90,Jun-90
6-Jun-90,1990,6,June,Jun-90,Jun-90
7-Jun-90,1990,6,June,Jun-90,Jun-90
8-Jun-90,1990,6,June,Jun-90,Jun-90
9-Jun-90,1990,6,June,Jun-90,Jun-90
10-Jun-90,1990,6,June,Jun-90,Jun-90
11-Jun-90,1990,6,June,Jun-90,Jun-90
12-Jun-90,1990,6,June,Jun-90,Jun-90
13-Jun-90,1990,6,June,Jun-90,Jun-90
14-Jun-90,1990,6,June,Jun-90,Jun-90
